"Ano";"Municipio";"Casos"
"2015";"Angra dos Reis";9032
"2015";"Aperibé";25
"2015";"Araruama";523
"2015";"Areal";487
"2015";"Armação dos Búzios";61
"2015";"Arraial do Cabo";55
"2015";"Barra do Piraí";1818
"2015";"Barra Mansa";1130
"2015";"Belford Roxo";208
"2015";"Bom Jardim";25
"2015";"Bom Jesus do Itabapoana";1177
"2015";"Cabo Frio";199
"2015";"Cachoeiras de Macacu";11
"2015";"Cambuci";8
"2015";"Campos dos Goytacazes";5700
"2015";"Cantagalo";23
"2015";"Carapebus";226
"2015";"Cardoso Moreira";38
"2015";"Carmo";42
"2015";"Casimiro de Abreu";122
"2015";"Conceição de Macabu";75
"2015";"Cordeiro";75
"2015";"Duque de Caxias";487
"2015";"Engenheiro Paulo de Frontin";86
"2015";"Guapimirim";43
"2015";"Iguaba Grande";67
"2015";"Itaboraí";776
"2015";"Itaguaí";906
"2015";"Italva";66
"2015";"Itaocara";28
"2015";"Itaperuna";3079
"2015";"Itatiaia";1493
"2015";"Japeri";175
"2015";"Laje do Muriaé";74
"2015";"Macaé";1206
"2015";"Macuco";18
"2015";"Magé";102
"2015";"Mangaratiba";312
"2015";"Maricá";131
"2015";"Mendes";639
"2015";"Mesquita";91
"2015";"Miguel Pereira";4
"2015";"Miracema";532
"2015";"Natividade";786
"2015";"Nilópolis";132
"2015";"Niterói";911
"2015";"Nova Friburgo";493
"2015";"Nova Iguaçu";1829
"2015";"Paracambi";51
"2015";"Paraíba do Sul";82
"2015";"Paraty";305
"2015";"Paty do Alferes";26
"2015";"Petrópolis";309
"2015";"Pinheiral";230
"2015";"Piraí";1211
"2015";"Porciúncula";188
"2015";"Porto Real";2061
"2015";"Quatis";1507
"2015";"Queimados";43
"2015";"Quissamã";198
"2015";"Resende";12906
"2015";"Rio Bonito";12
"2015";"Rio Claro";207
"2015";"Rio das Flores";9
"2015";"Rio das Ostras";1316
"2015";"Rio de Janeiro";21221
"2015";"Santo Antônio de Pádua";1032
"2015";"São Fidélis";374
"2015";"São Francisco de Itabapoana";355
"2015";"São Gonçalo";3391
"2015";"São João da Barra";47
"2015";"São João de Meriti";586
"2015";"São José de Ubá";181
"2015";"São José do Vale do Rio Preto";869
"2015";"São Pedro da Aldeia";53
"2015";"São Sebastião do Alto";4
"2015";"Sapucaia";180
"2015";"Saquarema";2204
"2015";"Seropédica";210
"2015";"Silva Jardim";14
"2015";"Teresópolis";72
"2015";"Trajano de Moraes";2
"2015";"Três Rios";104
"2015";"Valença";585
"2015";"Varre-Sai";15
"2015";"Vassouras";774
"2015";"Volta Redonda";4455
"2016";"Angra dos Reis";1409
"2016";"Aperibé";43
"2016";"Araruama";1043
"2016";"Areal";791
"2016";"Armação dos Búzios";15
"2016";"Arraial do Cabo";1175
"2016";"Barra do Piraí";1667
"2016";"Barra Mansa";398
"2016";"Belford Roxo";246
"2016";"Bom Jardim";275
"2016";"Bom Jesus do Itabapoana";1898
"2016";"Cabo Frio";197
"2016";"Cachoeiras de Macacu";438
"2016";"Cambuci";18
"2016";"Campos dos Goytacazes";3431
"2016";"Cantagalo";1811
"2016";"Carapebus";202
"2016";"Cardoso Moreira";374
"2016";"Carmo";736
"2016";"Casimiro de Abreu";298
"2016";"Comendador Levy Gasparian";12
"2016";"Conceição de Macabu";420
"2016";"Cordeiro";2074
"2016";"Duas Barras";58
"2016";"Duque de Caxias";2092
"2016";"Engenheiro Paulo de Frontin";167
"2016";"Guapimirim";293
"2016";"Iguaba Grande";178
"2016";"Itaboraí";582
"2016";"Itaguaí";269
