"Ano";"Municipio";"Casos"
"2015";"Adamantina";1302
"2015";"Adolfo";155
"2015";"Aguaí";2533
"2015";"Águas da Prata";395
"2015";"Águas de Lindóia";355
"2015";"Águas de Santa Bárbara";74
"2015";"Águas de São Pedro";58
"2015";"Agudos";1329
"2015";"Alambari";81
"2015";"Alfredo Marcondes";60
"2015";"Altair";143
"2015";"Altinópolis";118
"2015";"Alto Alegre";127
"2015";"Alumínio";315
"2015";"Álvares Florence";67
"2015";"Álvares Machado";484
"2015";"Álvaro de Carvalho";89
"2015";"Alvinlândia";77
"2015";"Americana";12870
"2015";"Américo Brasiliense";935
"2015";"Américo de Campos";118
"2015";"Amparo";7397
"2015";"Analândia";183
"2015";"Andradina";2240
"2015";"Angatuba";380
"2015";"Anhembi";221
"2015";"Anhumas";128
"2015";"Aparecida";1418
"2015";"Aparecida d'Oeste";275
"2015";"Apiaí";134
"2015";"Araçariguama";409
"2015";"Araçatuba";3017
"2015";"Araçoiaba da Serra";306
"2015";"Aramina";8
"2015";"Arandu";18
"2015";"Arapeí";109
"2015";"Araraquara";5933
"2015";"Araras";3953
"2015";"Arco-Íris";63
"2015";"Arealva";511
"2015";"Areias";15
"2015";"Areiópolis";480
"2015";"Ariranha";270
"2015";"Artur Nogueira";880
"2015";"Arujá";3247
"2015";"Aspásia";108
"2015";"Assis";5095
"2015";"Atibaia";2063
"2015";"Auriflama";298
"2015";"Avaí";354
"2015";"Avanhandava";147
"2015";"Avaré";669
"2015";"Bady Bassitt";788
"2015";"Balbinos";99
"2015";"Bálsamo";422
"2015";"Bananal";393
"2015";"Barão de Antonina";14
"2015";"Barbosa";249
"2015";"Bariri";190
"2015";"Barra Bonita";174
"2015";"Barra do Chapéu";2
"2015";"Barra do Turvo";28
"2015";"Barretos";2597
"2015";"Barrinha";244
"2015";"Barueri";10924
"2015";"Bastos";659
"2015";"Batatais";797
"2015";"Bauru";10760
"2015";"Bebedouro";8024
"2015";"Bento de Abreu";25
"2015";"Bernardino de Campos";93
"2015";"Bertioga";3011
"2015";"Bilac";244
"2015";"Birigui";7905
"2015";"Biritiba Mirim";66
"2015";"Boa Esperança do Sul";296
"2015";"Bocaina";84
"2015";"Bofete";46
"2015";"Boituva";2194
"2015";"Bom Jesus dos Perdões";490
"2015";"Bom Sucesso de Itararé";3
"2015";"Borá";75
"2015";"Boracéia";78
"2015";"Borborema";738
"2015";"Borebi";20
"2015";"Botucatu";1830
"2015";"Bragança Paulista";1341
"2015";"Braúna";325
"2015";"Brejo Alegre";29
"2015";"Brodowski";369
"2015";"Brotas";385
"2015";"Buri";404
"2015";"Buritama";897
"2015";"Buritizal";1
"2015";"Cabrália Paulista";116
"2015";"Cabreúva";362
"2015";"Caçapava";1281
"2015";"Cachoeira Paulista";441
"2015";"Caconde";166
"2015";"Cafelândia";257
"2015";"Caiabu";28
"2015";"Caieiras";744
"2015";"Caiuá";62
"2015";"Cajamar";3418
"2015";"Cajati";40
"2015";"Cajobi";246
"2015";"Cajuru";911
"2015";"Campina do Monte Alegre";33
"2015";"Campinas";77109
"2015";"Campo Limpo Paulista";344
"2015";"Campos do Jordão";15
"2015";"Campos Novos Paulista";77
"2015";"Cananéia";181
"2015";"Canas";47
"2015";"Cândido Mota";4417
"2015";"Cândido Rodrigues";57
"2015";"Canitar";14
"2015";"Capão Bonito";475
"2015";"Capela do Alto";64
"2015";"Capivari";3048
"2015";"Caraguatatuba";9660
"2015";"Carapicuíba";1473
"2015";"Casa Branca";872
"2015";"Cássia dos Coqueiros";1
"2015";"Castilho";933
"2015";"Catanduva";12832
"2015";"Catiguá";272
"2015";"Cedral";509
"2015";"Cerqueira César";45
"2015";"Cerquilho";394
"2015";"Cesário Lange";154
"2015";"Charqueada";196
"2015";"Chavantes";261
"2015";"Clementina";88
"2015";"Colina";990
"2015";"Colômbia";212
"2015";"Conchal";3020
"2015";"Conchas";1107
"2015";"Cordeirópolis";969
"2015";"Coroados";193
"2015";"Coronel Macedo";26
"2015";"Corumbataí";148
"2015";"Cosmópolis";626
"2015";"Cosmorama";163
"2015";"Cotia";3381
"2015";"Cravinhos";178
"2015";"Cruzália";136
"2015";"Cruzeiro";377
"2015";"Cubatão";1028
"2015";"Cunha";2
"2015";"Descalvado";1604
"2015";"Diadema";6328
"2015";"Dirce Reis";53
"2015";"Divinolândia";16
"2015";"Dobrada";111
"2015";"Dois Córregos";608
"2015";"Dolcinópolis";237
"2015";"Dourado";95
"2015";"Dracena";1408
"2015";"Duartina";144
"2015";"Dumont";260
"2015";"Echaporã";69
"2015";"Eldorado";2
"2015";"Elias Fausto";1017
"2015";"Elisiário";152
"2015";"Embaúba";97
"2015";"Embu-Guaçu";429
"2015";"Embu das Artes";1720
"2015";"Emilianópolis";9
"2015";"Engenheiro Coelho";949
"2015";"Espírito Santo do Pinhal";1945
"2015";"Espírito Santo do Turvo";76
"2015";"Estiva Gerbi";691
"2015";"Estrela d'Oeste";1826
"2015";"Estrela do Norte";50
"2015";"Euclides da Cunha Paulista";98
"2015";"Fartura";203
"2015";"Fernando Prestes";99
"2015";"Fernandópolis";1554
"2015";"Fernão";32
"2015";"Ferraz de Vasconcelos";919
"2015";"Flora Rica";23
"2015";"Floreal";39
"2015";"Flórida Paulista";962
"2015";"Florínea";285
"2015";"Franca";2359
"2015";"Francisco Morato";1082
"2015";"Franco da Rocha";1445
"2015";"Gabriel Monteiro";29
"2015";"Gália";334
"2015";"Garça";1942
"2015";"Gastão Vidigal";41
"2015";"Gavião Peixoto";28
"2015";"General Salgado";94
"2015";"Getulina";759
"2015";"Glicério";198
"2015";"Guaiçara";427
"2015";"Guaimbê";741
"2015";"Guaíra";1931
"2015";"Guapiaçu";508
"2015";"Guapiara";50
"2015";"Guará";274
